id,label,instagram
14,Positive,"Bismillah.Awal bulan di awal tahun nih.Moment yang pas buat kalian merencanakan liburan bersama keluarga.Mumpung tanggal belum tua2 banget .Liburan dipercaya bisa men' top up tenaga dan pikiran biar lebih semangat ketika akan memulai aktifas lagi. Tentunya biar ngga kebobolan kantong dengan kalkulasi biaya liburan lebih tepat sasaran. Kalian bisa menggunakan trip planner kami. lebih efisien, efektif dan praktis tentunya.Info Private Trip "
15,Positive,"Holiday Resort Lombok ?  ? Jl Raya Mangsit Senggigi Beach Lombok Indonesia, LombokTransport"
16,Positive,Ayah bunda pacaran dlu y nak...mumpung alesha lg manja2an sm uty ??? udh lma g fto bgni ay @rifqisenoadi 
17,Positive,"BismillahSelamat pagi sobad dolanTahun 2019 sudah berakhir, dan sebaiknya menutupnya dengan doa akhir tahun. Tahun baru 2020 sudah datang .Mengawali tahun baru dengan doa awal tahun juga sangatlah baik, berharap kebaikan-kebaikan dari Allah swtAda baiknya, menutup akhir tahun dengan membaca doa berupa harapan sekaligus ampunan dosa. Sehingga ada optimisme ketika membuka lembaran baru di tahun baru 2020."
18,Positive,"Happy New Year 2020 Semuanyahhh - Love from Lombok - Nusa Tenggara Barat - Said Bye to 2019 - Thankyou for all the memories and all kindness shared, now welcoming 2020 with Geeat Joy and Enthusiasm "
19,Positive,"Selamat datang 2020Harmoni Lombok Tour siap melayani, dan membantu setiap kebutuhan wisata Anda dengan senang hati dan profesional"
20,Netral,Jangan lupa malam hari ini pergantian tahun... Kita kumpul di new surya yaaa.. 
21,Positive,"Sire Beach, Lombok Hai temans, liburan panjang gini lebih enak ke pantai atau gunung ya? Menurut kalian bagaimana?"
22,Negative,"Cuaca sedang buruk, yang di jalan harap berhati-hati, dan yang di hati kapan kita jalan-jalan?"
23,Positive,Gili Nanggu Island Nanggu trip with keluarga cemara from jkrt
24,Positive,"Gili Air, Lombok, Indonesia Salamat Pagi !\n\nOui ok ça veut dire bonjour en Indonésie, j’ai pas tout oublié ???? J’ai posté la deuxième vidéo sur YouTube ce matin sur le sujet de l’Australie, je vais enchaîner ça demande énormément de travail surtout sur l’édit et quand tu te formes en même temps mais franchement je kifff ???? J’ai choisi une photo de cette île, je lui dois beaucoup de choses et notamment cette rencontre avec le chanteur que j’avais mis en Story, je sais pas si tu te souviens « Never try, never knows » et c’est aussi cette phrase qui m’a permis de prendre la plus grosse décision même si c’est risqué ??\n\nOn a qu’une vie, n’est ce pas "
25,Netral,Lekker op z’n Hollands het eiland verkennen Gili Trawangan
26,Positive,"Depicting a circle of 48 life size figures, standing together and curled up on the ground, the piece is expected to become covered in coral, making it a destination for divers to explore the coast of the small island of Gili Meno, North Lombok."
27,Netral,"Gili Meno, Lombok, the middle island, the smallest of the three Gili's and it is the quietest with fewer tourists"
28,Positive,"The Beach House Did we mention that we are perfect for insta pictures?\nIt’s so difficult to be humble when everything is going great and we are growing?\nSpend your afternoon swimming at our pool or smoking shisha next to it and don’t forget about Happy Hour for selected cocktails Buy 1 Get 1 for free or 3 beers for 85k, then order some food (the menu is above, at high lights) and send a pic to your friends to make them jealous ?? or make them come to join you, who knows gili trawanganbeach"
29,Netral,Gili Nanggu Island Sailing to a place called heaven 
30,Netral,"Gili Trawangan egy olyan hely, ahova bármikor szó nélkül visszamennék "
31,Netral,When it's Rainy season on Gili Trawangan... 
32,Positive,"The Gilis - Gili Air, Gili Meno and Gili Trawangan Not sure where to celebrate New Years Eve?\n.\nCome to the Gili Islands and spend it on the beach "
33,Positive,"Gili Trawangan Lombok Varsoli Beach, Alibag, description: Just 1.5 Km Away from the "
34,Positive,"The Meno Eco Hostel is a beachfront hostel on the sunrise side of Gili Meno ???? Although the pace of life is slow here, there is plenty to do: yoga on the deck, biking around the island, making friends with sea turtles, spearfishing with a local fishermen, grabbing a drink at the bar for happy hour, ending the night by cozying up by the fire... ?????????? Also, we strongly suggest that you spend at least one night sleeping under the stars on the roof or yoga deck and gaze into the galaxy!"
35,Positive,"Gili Nanggu, description: A beautiful place to having fun and chill, huh... Somewhere you deserve, somewhere you belong "
36,Positive,Gili Trawangan Lombok ada banyak pantai yg akan memanjakan liburan anda di lombok\
37,Positive,"Gili Air, Lombok, Indonesia Whatever makes you feel the sun from inside out chase that\???? "
38,Positive,"Gili Trawangan Lombok CONGRATULATIONS!! You found this week’s PROMO CODE!?\nLooking for a comfortable transfer to the Gili Islands or Nusa Lembongan??\nWhy not book at a special rate!?\nEnter promo code “50percent” for 50% off your online booking!?\nOnly valid for 2 uses, so book fast!! If you get an error when trying to use the code, it means they have all been used.?\nDon’t worry if you miss out, there will be a new promo code next week.?\n?\nThe Gilis aren't just about beautiful beaches and tropical blue water! They also have gorgeous palms and farmland for you to cycle around!"
39,Positive,"Gili Trawangan Island - Lombok A vibrant, modern feeling beach club located on one of the most beautiful beaches on Gili Trawangan.?\n?\nWe here at Malibu plan to provide all that we can, from our sunset oasis for your holiday experience"
40,Negative,"Gili Trawangan Lombok Indigo nights with a melting sun, don't mind if we do "
41,Positive,"Gili Trawangan, Bali, Indonesia Overloading cuteness is here ??\n??When was your last time drinking a cocktail sitting at the pool or reading a book while the water splashes next to your feet? ??\nYou can stay, dine and chill at @beachhouseresortgt and let us take care of the rest ??\nThe rest is great experience and amazing memories after your boat from Gili T is heading somewhere else "
42,Positive,"Gili Meno, Lombok, Indonesia\n\nLas islas Gili son un archipiélago conformado por tres pequeñas islas Meno, Air y Trawangan. ?? ??\nGili Meno es la mas pequeña y menos plagada de gente de las tres. También es la que más conserva su estado natural.\nEn mi opinión, es la más linda de las tres "
43,Positive,"Gili Meno, Lombok, Indonesia\n\nFoto previa a tomarme la lancha rápida con destino a Gili Trawangan "
44,Netral,"Selamat Pagi or Good Morning in Bahasa ?? Time to get up, Another beautiful day is waiting for you "
45,Positive,"Gili Islands Tropical island = salty glowing skin, crystal blue ocean, no worries AT all.... Sounds good doesn't it??\n?\nCome join us under the sun"
46,Positive,"Gili Trawangan Lombok The always beautiful Gili Trawangan! Often times thought of as the party island, that is only a small part of it! And if you stay on the \other side\ of the island, it is relaxation to the max!?\n?\nBut regardless of where you stay, the beaches and water around Gili T will have you wishing you had more days there!"
47,Positive,"Akan selalu ada cerita di setiap perjalanan  Location : bukit lekok ,bayan,lombok Utara"
48,Positive,"location: Bukit Merese Lombok Bukit Merese atau warga setempat menyebutnya Merisik yang artinya bukit gundul. Disebut gundul karena tidak ditemui pepohonan di atasnya, hanya satu buah pohon di ujung barat bukit yang oleh para pengunjung sering disebut Pohon Galau. Dari Bukit Merese kamu juga bisa melihat dua moment spesial yaitu saat matahari terbit dan terbenam. Di jalan setapak saat mulai menaiki bukit kamu akan melihat papan penunjuk arah yang akan mengarahkan kamu jika ingin melihat sunset atau Sunrise"
49,Positive,"Pergasingan Lombok adalah tempat aku dibesarkan, aku bersyukur hidup di tempat yang dimana semua tempat bisa dikatakan potongan dari syurga, dikala aku lelah dengan segala rutinitas, alam adalah tempat paling indah untuk berkeluh kesah"
50,Positive,"Bukit Pergasingan I'm not going away to disappear, I'm just going to find some peace and freedom... one day I'll be sure to come home Pergasingan hill"
51,Netral,sunrise bukit batu idung 
52,Positive,"Savana Propok Lombok, Dakilah Gunung Dan Nikmati Keindahannya :)"
53,Positive,Savana Propok Lombok Aku suka Sunrise dan Kamu  bukit kondo 
54,Positive,"Savana Propok Hargailah apa yang kamu miliki saat ini, karena kamu tak pernah tau seberapa beruntung nya kamu di mata orang lain...Bukit Savana Propok, Sembalun, Lombok Timur."
55,Netral,Foto Terbaik Kalian -Buat InstaStory Terkece & Tag akun kami -Like & Komen Postingan Kami -Akun Jangan Diprivate -Foto Yang Kami Pilih Bukan Foto Selfie
56,Positive,"Bukit Balibe, description: Jangan pernah merendahkan seseorang, karna kita tidak tau kapan allah akan mengangkat derajat seseorang."
57,Netral,"Terima kasih banyak telah berbagi alun-alun yang indah ini dengan kami, kami sarankan Anda untuk mengunjungi galeri dengan kotak yang indah. Terima kasih! Silakan coba sorotan ini "
58,Negative,"Bukit Balibe, Tinggalkan dia yang mematahkan hatimu dan jangan pikirkan dia lagi!! karena itu sakit "
59,Positive,"Bukit Balibe, Ilalang melambai Bersama rumput di tebing curam Sera angin menyapu debu Di hamparan lereng lereng berbatu Di lengkung langit,menjadi saksi bisu Puncak balibe bukan lagi surga yang tersembunyi seperti yng lalu Fatwa alam telah mewartakan kepada isi dunia Tentang keindahan nya Di suatu tempat Di selatan bumi sasak Di antara gugusan bukit bukit tanah Lombok Tengah Tersaji apik keanggunan alam bukit balibe Maha karya sang pencipta "
60,Netral,"Holiday Resort Lombok ?  ? Jl Raya Mangsit Senggigi Beach Lombok Indonesia, Lombok, Penerang jalan menggunakan solar panel di Jalan Raya Senggigi-Lombok masih terbatas. Cuma nampak hanya beberapa per kilometer-nya. Selebihnya masih mengandalkan gaya lama: Tiang listrik berkabel semerawut (slide-slide berikutnya). Menganggu kenyamanan mata. Pun tak aman bila digoyang gempa"
61,Positive,"Pandanan Beach Malimbu Hill. Merindukan sebuah hal. Perihal eksotisme sepanjang memasuki desa Malaka, Kecamatan Pemenang"
62,Positive,"Nipah, Jln. Raya senggigi, Malaka, Pamenang, KLU, NTB, Perbukitan di Lombok pada umumnya memahat kekhasan konstan. Letaknya menjorok langsung ke lautan. Bukit Merese misalnya, terletak di Mandalika-Lombok Tengah.  Begitu juga dengan Bukit Malimbu berikut ini. Sepanjang jalan dari Mataram ke Gili Trawangan, mata ini disuguhi gugusan kaki bukit yang berbatasan langsung dengan laut. Seolah berdiri di ujung perbatasan potongan dunialombok"
63,Positive,"Batu Layar, Batu Layar, Lombok Barat Jalan Raya Senggigi-Lombok Barat, lebih dari water front city. Dari Kota Mataram menuju Gili Trawangan, jalan rayanya dijepit oleh dua pesona.  Di ruas jalan raya sebelah kanan, mata dimanjakan oleh relief bebatuan kaki bukit menjulang. Kontur tanahnya seolah disemen dengan batu-batu keras bukit yang telah berusia lebih dari satu abad. Ditutup tanaman rambat hutan alam, batu tersebut seolah meyakinkan anti-longsor.  Pada ruas jalan raya sebelah kiri: mata dimanjakan oleh berbagai hotspot pantai yang menawan. Di slide II-III: tepat di hotspot pantai Batu Bolong"
64,Positive,Karena sesuatu yg indah itu butuh perjuangan bukit bintang 
65,Positive,"Mari berlibur guys Hidup itu memang tak mudah,namun akan indah jika di Nikmati"
66,Positive,"Gunung Sari Lombok Barat, Tau gk kenapa dinamakan Bukit Tiga Rasa...??? Jawabannya ada di depan mata... Bukit Tiga Rasa, Desa Gelangsar, Lombok Barat "
67,Positive,Still on the Hill Alam lombok memanjakan mata!
68,Positive,Desa Bengkaung Terimakasih sudah hadir meski hanya mampir.
69,Positive,"Aku rindu tempat ini, tempat dimana ketenangan dan keindahan slalu menghampiriku nanggi bukit tinggi "
70,Positive,"Bayan Lombok, Akan selalu ada cerita di setiap perjalanan bukit lekok ,bayan,lombok Utara"
71,Netral,"West Nusa Tenggara Masbagik, Lotim NTB,?????? ??????????"
72,Negative,Taman Wisata Alam Gunung Tunak Berdua artinya kami dukung 02 pasangannya
73,Positive,"Jika wanita berkata, Semua lelaki itu Bajinganlalu bagaimana dengan Wanita apakah semua Masih Bergelar Perawan Photo by Donk in Pantai Tebing, Rempek Lombok Utara with "
74,Positive,Bukit merese. Tempat hits saat ini di lombok. Bukit yang langsung menghadap dengan pantai yang indah. Bukit yang punya cerita tersendiri. Jadi pengen kesini lagi. Kamu kesini bareng siapa dulu?
75,Netral,"Tanjung Aan Beach, Kuta, Lombok, West Nusa Tenggara"
76,Positive,"West Nusa Tenggara, Berburu senja karena senja selalu ditunggu, waktu untuk setidaknya bisa merelaxasi tubuh yang seharian telah mengeluarkan berbagai energi sehingga butuh dibrecharge kembali oleh energi semesta "
77,Positive,Ayo trip bukit marese tanpa mengeluarkan biaya hanya tenaga sudah bisa memandang keindahan alam darat dan laut 
78,Netral,"Sekarang aku ikuti sudah permainanmu Photo from @imhsfh - Bukan seorang yang membuang-buang uang tapi saya sedang belajar menjelajahi arti kehidupan, karena belajar dari zona nyaman tidaklah cukup bagi saya "
79,Positive,"Sembalun Rinjani Trek,Bukan seorang yang membuang-buang uang tapi saya sedang belajar menjelajahi arti kehidupan, karena belajar dari zona nyaman tidaklah cukup bagi saya "
80,Netral,Pantai merah mudah
81,Netral,"Ma wun Lombok, Nusa Tenggara Barat, Indonesia"
82,Positive,Pulau kecil nan exotic West Nusa Tenggara
83,Positive,"West Nusa Tenggara, description: Desa Sade Nusa Tenggara Barat, tanjung aan dan tour selam 3 gili. Hey, buat kamu yg ingin di dokumentasikan aktifitas travelnya, disni kami menyediakan jasa Videografi dan fotografi  Yg pastinya acara serumu bsa terekam semua! . Yuk tag teman kamu yg ingin travel dan liburanmu terekam seru di Lombok_Sasak"
84,Positive,"Bukit Merese, terletak di Tanjung Aan, Lombok Tengah. Dari bukit ini sobat traveler bisa melihat Pantai Aan beserta karangnya dari ketinggian dan spot Batu Payung yang cukup terkenal"
85,Positive,Wisata trecking bukit nanggi Morn march Kekuatan menemukan keindahan dalam hal2 paling sederhana yg bisa membuat kita menjadi bahagia dan kehidupan menjadi terasa indah dan lebih bermakna
86,Positive,"Bukit Selong, Sembalun,lombok NTB Indonesia Assallamualaiku Semoga Bermanfaat Amin, Allah SWT berfirman: Wahai manusia! Bertakwalah kepada Tuhanmu yang telah menciptakan kamu dari diri yang satu (Adam), dan (Allah) menciptakan pasangannya (Hawa) dari (diri)nya; dan dari keduanya Allah memperkembangbiakkan laki-laki dan perempuan yang banyak. Bertakwalah kepada Allah yang dengan nama-Nya kamu saling meminta dan (peliharalah) hubungan kekeluargaan. Sesungguhnya Allah selalu menjaga dan mengawasimu"
87,Positive,Gunung Rinjani - Rinjani Mountain Selamat pagi semoga berkah 
88,Netral,West Nusa Tenggara Ayok naik gunung 
89,Positive,Taman Wisata Sembalun Selamat pagi indonesia Selamat beraktivitas  Semoga berkah 
90,Netral,"Lombok, Nusa Tenggara Barat, Indonesia Juma'at berkah Selamat menunaikan solat jumat "
91,Positive,Pusuk Sembalun Asyik in aja  Selamat siang jangan lupa makan siang semeton 
92,Positive,"Lombok, Nusa Tenggara Barat, Indonesia, description: Selamat siang  Nikmati syukuri "
93,Positive,"Lombok, Nusa Tenggara Barat, Indonesia Good morning Have a good activity Happy wekkend "
94,Positive,Bukit Pergasingan Menikmati keindahan Alam Lombok_Sasak
95,Positive,"Bukit Selong, Sembalun,lombok NTB Indonesia,Mari kita berburu photopolio"
96,Positive,"Lombok, Nusa Tenggara Barat, Indonesia Alam ini diciptakan dengan jutaan misteri yang tidak kita ketahui. Bukan misteri yang membuat kita takut, tapi misteri yang membuat kita bergairah untuk mengetahuinya"
97,Positive,"Bukit Merese Lombok, Subhanallah Allah menciptakan isi bumi sedemikian indah begitu pula kita diciptakan sesempurna mungkin"
98,Positive,"Selong selo, Lombok Aura lounge Lombok private trip , min 2 person Tentukan tanggal liburan anda sekarang juga!"
99,Positive,"Semeti beach , Lombok Liburan bersama teman / keluarga bersama kami. Lombok private trip , min 2 person"
100,Netral,"Bukit bingo , Lombok  Lombok private trip , min 2 person"
101,Negative,"Jangan takut jika hidup mu akan berakhir,tapi takutlah jika hidup mu belum dimulai"
102,Netral,Mulailah setiap hari dengan senyuman dan akhiri dengan senyuman
103,Netral,Bukit tangsi beach lombok_sasak
104,Positive,Alhamdulillah for everything  lokasi : bukit pantai batu Payung
105,Netral,Fokus ke matahari jangan fokus yang lain 
106,Netral,Hidden Paradise in Lombok_Sasak
107,Positive,"Bukit Malimbu Curhat sedikit ya sob. Smga menjadi insfirasi. Tau pepatah ini Banyak jalan menuju roma? Nah pepatah ini yang selalu saya implementasikan dikehidupan saya sendiri. Kemarin waktu saya kelombok semua fasilitas saya dapatkan gratis, dari mulai tiket pesawat,menginap diresort bintang 5, uang jajan, asuransi perjalanan, asuransi, ,guide dan smua fasilitas selama saya dilombok ditanggung sponsor. . . Kok bisa? Kan sudah saya bilang banyk jalan menuju roma haha jadi banyak jalan juga menuju lombok seperti ikutan kontes-kontes, atau ada sponsor yang tertarik dengan hobimu yangmengajak kerjasama. Kemarin saya kelombok smua ditanggung oleh Sponsor. Saya sangat bersyukur karena bisa mengajak teman 1 orang, katanya biar ada teman ngobrol buat menikmati kopi sengigi haha pdhal temannya saya mamfaatin untuk jadi tukang photo selama saya dilombok. Lol just kiding brother karim . . . .tapi inget ya gak semua travelling saya disponsorin. Banyak juga traveling yg saya jajaki dengan duit sendiri :( . .Yuk mulai dari sekarang mampatkan hobimu. Bikin dunia tau ! Enak kan kalo hobimu dibayar?"
108,Positive,Selamat malam dan selamat ber istirahat Lokasi : pergasinganhill
109,Positive,"Ini ada ucapan lagi buat mbak @anggun_cipta , diambil di atas salah satu bukit di Lombok mbak, semoga karir mu lebih tinggi dan lebih besar dari gunung gunung yaa, Big miss you mbak dan ada salam dari Lombok"
110,Netral,"Bukit Pergasingan, Sembalun, Lombok Timur"
111,Positive,Keindahan Alam bukit lombok senggigi 
112,Positive,kamu kamu kamu ... tidak akan berteriak klo belum kesini braaayyyy...bukit Merese
113,Positive,Menghitung banyak masjid dan musola Lombok barat dari bukit Idung
114,Negative,"Pantai Teluk Lombok, Sangatta, Kutai Timur, Kalimantan Timur"
115,Positive,"Satu, dua, tiga sayang semuanya??Loc: Pantai Aan "
116,Negative,Harus dewasaa. .. .lombok kuta mandalika 
117,Netral,Villa Bidadari Ciater
118,Netral,"Pantai Ekasi-Jerowaru, Lotim"
119,Negative,"Semarang, Indonesia"
120,Positive,"Pantai Kuta Mandalika, Lombok Tengah, Ntb"
121,Positive,"Tanjung Aan Beach, Kuta, Lombok, West Nusa Tenggara"
122,Positive,"Labuhan Haji ,Lombok Timur,Ntb"
123,Positive,pantai Pink Lombok timur
124,Positive,Pantai Tanjung anna
125,Positive,Bukit Merese Lombok
126,Positive,Pantai Kerandangan
127,Positive,Pantai Kura Kura Ekas Lombok Timur
128,Positive,Tanjung Aan Beach Lombok
129,Positive,"Lombok, Indonesia"
130,Netral,Villa Hantu Senggigi
131,Positive,Tanjung Luar Tanjung luar hafen
132,Negative,Nah bingunkan resolusi tahun 2020 nya apa??
133,Netral,Pantai Pasir Kencana Lokasi:Pantai Pasir Kencana 
134,Positive,"Pearl of Trawangan, Gili Island"
135,Positive,Gili Islands Peace & Love
136,Positive,Gili Trawangan Lombok
137,Netral,"The Gilis - Gili Air, Gili Meno and Gili Trawangan"
138,Netral,"Street of Gili Trawangan, lombok"
139,Positive,Grand Sunset - Gili Air
140,Positive,Gili Trawangan Lombok
141,Netral,Savana Propok
142,Positive,"Gili Air, Lombok, Indonesia"
143,Negative,"Gili Trawangan, Bali, Indonesia"
144,Negative,"The Gilis - Gili Air, Gili Meno and Gili Trawangan"
145,Netral,Gili Meno
146,Netral,Lesehan Green Asri
147,Positive,"Gili Nanggu, description: LIBUR TELAH TIBA! "
148,Negative,"Gili Trawangan, Bali, Indonesia"
149,Netral,Gili Island
150,Netral,The Exile Gili Trawangan
151,Positive,Gili Trawangan Lombok
152,Positive,"Ampenan Beach, Lombok, Indonesia"
153,Negative,"Gili Trawangan, Bali, Indonesia"
154,Netral,"Gili Air Island, Lombok"
155,Positive,Gili Trawangan Lombok
156,Positive,Gili Meno Shades of blueseas
157,Negative,"Gili Meno Gili Meno, Lombok, Indonesia\"
158,Netral,"Gili Kondo,Lombok Timur"
159,Netral,Selong Belanak Lombok Indonesia
160,Netral,Bukit Merese Lombok
161,Netral,Savana Propok Lombok
162,Netral,Bukit Kondo Sembalun
163,Netral,Savana Propok
164,Netral,Bukit Kondo Sembalun
165,Netral,"Bukit Balibe, Masquad "
166,Netral,Bukit Merese Lombok West Nusa Tenggara
167,Netral,Liburan galeryindonesia
168,Netral,Pantai Seger Kuta Lombok
169,Netral,Pergasingan Hill
170,Netral,Bukit Batu Idung
171,Netral,Liburan galeryindonesia
172,Netral,Pantai Seger Kuta Lombok
173,Netral,Pergasingan Hill
174,Netral,Bukit Batu Idung
175,Netral,Liburan galeryindonesia
176,Netral,Pantai Seger Kuta Lombok
177,Netral,Pergasingan Hill
178,Netral,Bukit Batu Idung
179,Netral,Pantai Seger Kuta Lombok
180,Netral,Mount Rinjani No caption 
181,Netral,Tanjung Aan
182,Netral,"Bukit Malimbu, Lombok"
183,Netral,Bukit Merese
